原始电压	原始电流	处理后的电压	处理后的电流	用于拟合tafel点的横坐标	用于拟合tafel点的纵坐标	拟合直线的横坐标	拟合直线的纵坐标
-8.583069e-06	0.01238286	-8.583069e-06	0.01238286	-1.347348571	0.2599914	-1.347348571	0.259994909
0.004974604	0.01256168	0.004974604	0.01256168	-1.300957909	0.2649798	-1.345541015	0.260185976
0.009963274	0.01274049	0.009963274	0.01274049	-1.252748654	0.2699955	-1.343733459	0.260377043
0.01497841	0.0128746	0.01497841	0.0128746	-1.204669556	0.274986	-1.341925903	0.26056811
0.01997232	0.01303852	0.01997232	0.01303852	-1.156719683	0.2800045	-1.340118346	0.260759177
0.02499056	0.01323223	0.02499056	0.01323223	-1.112366273	0.2849865	-1.33831079	0.260950244
0.02997327	0.01336634	0.02997327	0.01336634	nan	nan	-1.336503234	0.2611413111
0.03499389	0.01356006	0.03499389	0.01356006	nan	nan	-1.334695678	0.2613323781
0.03997779	0.01372397	0.03997779	0.01372397	nan	nan	-1.332888122	0.2615234451
0.04496694	0.01393259	0.04496694	0.01393259	nan	nan	-1.331080566	0.2617145121
0.04998446	0.014171	0.04998446	0.014171	nan	nan	-1.32927301	0.2619055791
0.05496955	0.01439452	0.05496955	0.01439452	nan	nan	-1.327465453	0.2620966461
0.0599916	0.01460314	0.0599916	0.01460314	nan	nan	-1.325657897	0.2622877131
0.06497264	0.01481175	0.06497264	0.01481175	nan	nan	-1.323850341	0.2624787801
0.06999564	0.01505017	0.06999564	0.01505017	nan	nan	-1.322042785	0.2626698471
0.07497954	0.01524389	0.07497954	0.01524389	nan	nan	-1.320235229	0.2628609142
0.07996488	0.01546741	0.07996488	0.01546741	nan	nan	-1.318427673	0.2630519812
0.08498764	0.01569092	0.08498764	0.01569092	nan	nan	-1.316620117	0.2632430482
0.08997178	0.01594424	0.08997178	0.01594424	nan	nan	-1.314812561	0.2634341152
0.09499359	0.01615286	0.09499359	0.01615286	nan	nan	-1.313005004	0.2636251822
0.09997582	0.01636147	0.09997582	0.01636147	nan	nan	-1.311197448	0.2638162492
0.1049995	0.0166297	0.1049995	0.0166297	nan	nan	-1.309389892	0.2640073162
0.1099842	0.01682341	0.1099842	0.01682341	nan	nan	-1.307582336	0.2641983832
0.1149657	0.01709163	0.1149657	0.01709163	nan	nan	-1.30577478	0.2643894502
0.1199894	0.01734495	0.1199894	0.01734495	nan	nan	-1.303967224	0.2645805173
0.1249735	0.01756847	0.1249735	0.01756847	nan	nan	-1.302159668	0.2647715843
0.129997	0.01782179	0.129997	0.01782179	nan	nan	-1.300352111	0.2649626513
0.1349816	0.01813471	0.1349816	0.01813471	nan	nan	-1.298544555	0.2651537183
0.1399992	0.01838803	0.1399992	0.01838803	nan	nan	-1.296736999	0.2653447853
0.1449881	0.01868606	0.1449881	0.01868606	nan	nan	-1.294929443	0.2655358523
0.1499686	0.01892447	0.1499686	0.01892447	nan	nan	-1.293121887	0.2657269193
0.1549952	0.0191927	0.1549952	0.0191927	nan	nan	-1.291314331	0.2659179863
0.1599772	0.01955032	0.1599772	0.01955032	nan	nan	-1.289506775	0.2661090533
0.1649959	0.01983345	0.1649959	0.01983345	nan	nan	-1.287699218	0.2663001204
0.1699853	0.02016127	0.1699853	0.02016127	nan	nan	-1.285891662	0.2664911874
0.1750026	0.02041459	0.1750026	0.02041459	nan	nan	-1.284084106	0.2666822544
0.1799898	0.02078712	0.1799898	0.02078712	nan	nan	-1.28227655	0.2668733214
0.184972	0.02114475	0.184972	0.02114475	nan	nan	-1.280468994	0.2670643884
0.1899967	0.02154708	0.1899967	0.02154708	nan	nan	-1.278661438	0.2672554554
0.1949828	0.02196431	0.1949828	0.02196431	nan	nan	-1.276853882	0.2674465224
0.1999981	0.02247095	0.1999981	0.02247095	nan	nan	-1.275046326	0.2676375894
0.2049885	0.02296269	0.2049885	0.02296269	nan	nan	-1.273238769	0.2678286564
0.2100015	0.02484024	0.2100015	0.02484024	nan	nan	-1.271431213	0.2680197235
0.2149916	0.02597272	0.2149916	0.02597272	nan	nan	-1.269623657	0.2682107905
0.219979	0.02674758	0.219979	0.02674758	nan	nan	-1.267816101	0.2684018575
0.2249954	0.02767146	0.2249954	0.02767146	nan	nan	-1.266008545	0.2685929245
0.229984	0.02889335	0.229984	0.02889335	nan	nan	-1.264200989	0.2687839915
0.2349989	0.03032386	0.2349989	0.03032386	nan	nan	-1.262393433	0.2689750585
0.2399876	0.032112	0.2399876	0.032112	nan	nan	-1.260585876	0.2691661255
0.2450044	0.03434718	0.2450044	0.03434718	nan	nan	-1.25877832	0.2693571925
0.2499886	0.03711879	0.2499886	0.03711879	nan	nan	-1.256970764	0.2695482595
0.2549753	0.04057586	0.2549753	0.04057586	nan	nan	-1.255163208	0.2697393266
0.2599914	0.0449419	0.2599914	0.0449419	nan	nan	-1.253355652	0.2699303936
0.2649798	0.0500083	0.2649798	0.0500083	nan	nan	-1.251548096	0.2701214606
0.2699955	0.05587935	0.2699955	0.05587935	nan	nan	-1.24974054	0.2703125276
0.274986	0.06242096	0.274986	0.06242096	nan	nan	-1.247932983	0.2705035946
0.2800045	0.06970763	0.2800045	0.06970763	nan	nan	-1.246125427	0.2706946616
0.2849865	0.07720292	0.2849865	0.07720292	nan	nan	-1.244317871	0.2708857286
0.2899783	0.08569658	0.2899783	0.08569658	nan	nan	-1.242510315	0.2710767956
0.2949929	0.09483099	0.2949929	0.09483099	nan	nan	-1.240702759	0.2712678626
0.2999814	0.1034588	0.2999814	0.1034588	nan	nan	-1.238895203	0.2714589297
0.3049998	0.1124144	0.3049998	0.1124144	nan	nan	-1.237087647	0.2716499967
0.3099842	0.1216084	0.3099842	0.1216084	nan	nan	-1.235280091	0.2718410637
0.3149724	0.1305491	0.3149724	0.1305491	nan	nan	-1.233472534	0.2720321307
0.3199873	0.1384169	0.3199873	0.1384169	nan	nan	-1.231664978	0.2722231977
0.3249779	0.1474321	0.3249779	0.1474321	nan	nan	-1.229857422	0.2724142647
0.3299944	0.1553446	0.3299944	0.1553446	nan	nan	-1.228049866	0.2726053317
0.3349805	0.168547	0.3349805	0.168547	nan	nan	-1.22624231	0.2727963987
0.3400028	0.1764596	0.3400028	0.1764596	nan	nan	-1.224434754	0.2729874657
0.3449852	0.180155	0.3449852	0.180155	nan	nan	-1.222627198	0.2731785328
0.3499725	0.1931041	0.3499725	0.1931041	nan	nan	-1.220819641	0.2733695998
0.3549905	0.2023727	0.3549905	0.2023727	nan	nan	-1.219012085	0.2735606668
0.3599806	0.2127439	0.3599806	0.2127439	nan	nan	-1.217204529	0.2737517338
0.3649983	0.2222508	0.3649983	0.2222508	nan	nan	-1.215396973	0.2739428008
0.3699806	0.2329201	0.3699806	0.2329201	nan	nan	-1.213589417	0.2741338678
0.3750045	0.2443343	0.3750045	0.2443343	nan	nan	-1.211781861	0.2743249348
0.3799837	0.252977	0.3799837	0.252977	nan	nan	-1.209974305	0.2745160018
0.3849733	0.2657473	0.3849733	0.2657473	nan	nan	-1.208166748	0.2747070688
0.3899913	0.277698	0.3899913	0.277698	nan	nan	-1.206359192	0.2748981359
0.3949721	0.2896339	0.3949721	0.2896339	nan	nan	-1.204551636	0.2750892029
